Attribute,Value,Property,URI,Description
layer,ROUTESMAD.bustrack,mobilitymadrid:layers,http://mobilitylab.emtmadrid.es/def/layers#usereventmad,kind of layer into RB or Mobility Servers. Layer ontology describes data domain Reactive Box and other elements of this entity
_id,[_id],Schema:text,http://schema.org/Text,Unique id of item
idLine,[id of line],schemas:Number,https://schemas.org/Number,Unique identifier of line into EMT Company
idbus,[id of bus],schemas:Number,https://schemas.org/Number,Unique identifier of bus into EMT Company
idStop,[id of stop],schemas:Number,https://schemas.org/Number,Unique identifier of stop into  Company
instant,[date time value],dcterms:date,xsd:datetime,Instant of data generation
geometry,GEOJSON,point object,http://geojson.org/geojson-spec.html#id2, Geo-point of current position of user
nameRouteResults,[value],Schema:text,http://schema.org/Text,Name of current into the Transport System
nameRouteUser,[value],Schema:text,http://schema.org/Text,ID of user of route plan
dayWeek,[type or week days],Mobilitymadrid:weekDays,http://mobilitylab.emtmadrid.es/def/transport#weekdays,Day of week of current track
dayType,[type or service days],Mobilitymadrid:daystype,http://mobilitylab.emtmadrid.es/def/transport#daystype,kind of day which user track is produced
idSesion,[value],Schema:text,http://schema.org/Text,Current session of user track
busData,[value],JSON structure,JSON structure,data of bus when the user device is linked to
chkPointType,[value],schemas:Text,http://mobilitylab.emtmadrid.es/def/transport#chkpointtype,Type of check point (stop or any)
chkPointId,[value],Schema:text,https://schemas.org/Text,Id of check point defined in userplan
classType,[value],Schema:text,http://mobilitylab.emtmadrid.es/def/transport#typecheckpoint,Class of check Point
order,[value],schemas:Number,https://schemas.org/Number,Leg or fragment of trip (order into the general route in userplan)
idRoute,[value],Schema:text,http://schema.org/Text,Unique id of item in ROUTESMAD.userplan